mol_id,smiles,antibacterial,antifungal,antiviral,not_antibacterial,not_antifungal,not_antiviral
141,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)c(O)c(O)c12,,,1,,,
142,COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)OCCN1CCOCC1)C(=O)OC2,2,,1,,,
143,O=c1cc(-c2ccc(O)c(-c3c(O)cc4oc(-c5ccc(O)cc5)cc(=O)c4c3O)c2)oc2cc(O)cc(O)c12,,,3,,,
144,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C,5,5,2,,,
145,CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1.O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[H+].[H+].[H+],,,1,,,
146,Nc1nc2[nH]cnc2c(=S)[nH]1,,,1,,,
147,CN1CCN(CCC=C2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,,,1,,,
148,CN(C)CCOc1ccc(C(=C(CCCl)c2ccccc2)c2ccccc2)cc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,,,1,,,
149,CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,,,1,,,
150,CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21.[Cl-].[H+],,,1,,,
151,CC=C1CN(C)C2Cc3c([nH]c4ccccc34)C(=O)CC1C2C(=O)OC,,,1,,,
152,C=C1CC23CCC4C(C)(C(=O)O)CCCC4(C)C2CCC1C3,,,3,,,
153,O=C(O)CP(=O)(O)O,,,5,,,
154,COC1=CC23CCN(C)C(Cc4ccc(OC)c(O)c42)C3=CC1=O,,,3,,,
155,Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,,,2,,,
156,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,,3,1,,,
157,OC1CN2CCC(O)C2C(O)C1O,,,4,,,
158,COc1ccc2c(c1)[nH]c1c(C)nccc12,,,3,,,
159,CCCCCC(O)CC=C1C(=O)C=CC1CC=CCCCC(=O)O,,,2,,,
160,Oc1cc(O)c2c(c1)OC1(c3ccc(O)c(O)c3)Oc3cc(O)c4c(c3C2C1O)OC(c1ccc(O)c(O)c1)C(O)C4,,,2,2,,
161,CC1OC(=O)C(C(C)C)NC(=O)C(C(C)C)OC(=O)C(C(C)C)NC(=O)C(C)OC(=O)C(C(C)C)NC(=O)C(C(C)C)OC(=O)C(C(C)C)NC(=O)C(C)OC(=O)C(C(C)C)NC(=O)C(C(C)C)OC(=O)C(C(C)C)NC1=O,4,2,3,,,
162,Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1,,,12,,,
163,CN(C)Cc1c[nH]c2ccccc12,2,,2,,,
164,CC1(C)C=C2C3CCC4C5(C)CCC(=O)C(C)(C)C5CCC4(C)C3(C)CCC2(C(=O)O)CC1,,,5,,,
165,CCCCCCCCCCCCCCCCCCCCCCO,,,6,,,
166,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1.[Cl-],1,1,1,,,
167,CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1.CS(=O)(=O)O,,,1,,,
168,CS(=O)(=O)O.Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,,,1,,,
169,NC(=O)c1ncn(C2OC(CO)C(O)C2O)c1O,1,,1,,,
170,CCSc1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2.O=C([O-])C=CC(=O)[O-].O=C([O-])C=CC(=O)[O-].[H+].[H+].[H+].[H+],,,1,,,
171,CN(C)CCC=C1c2ccccc2CSc2ccccc21,,,1,,,
172,C[n+]1ccc(-c2c3nc(c(-c4cc[n+](C)cc4)c4ccc([nH]4)c(-c4cc[n+](C)cc4)c4nc(c(-c5cc[n+](C)cc5)c5ccc2[nH]5)C=C4)C=C3)cc1,,,2,,,
173,OP(O)(=S)OP(O)(O)=S,,,1,,,
174,Cc1cc(C(=O)NC(C)C(=O)NC(C(=O)NC(CC(C)C)C(=O)NC(C=CC(=O)OCc2ccccc2)CC2CCNC2=O)C(C)C)no1,,,1,,,
175,O=C1N(Cc2ccc(CO)cc2)C(Cc2ccccc2)C(O)C(O)C(Cc2ccccc2)N1Cc1ccc(CO)cc1,,,5,,,
176,C=CC1(C)CC(=O)C2(O)C(C)(O1)C(OC(C)=O)C(O)C1C(C)(C)CCC(O)C12C,,,2,,,
177,N=C(N)NO,,,1,,,
178,CC(C)(C)NC(=O)C1CN(Cc2cccnc2)CCN1CC(O)CC(Cc1ccccc1)C(=O)NC1c2ccccc2CC1O,,,8,,,
179,OCC1NCC(O)C(O)C1O,,,4,,,
180,CCN1C(=O)C=CC1=O,,,1,,,
181,OC(COc1ccc(C2CCCCC2)cc1)CN1CCN(c2ccccn2)CC1,,,1,,,
182,CCC(Cc1ccccc1)c1cc(O)c(C(c2cccc(NC(=O)CCNC(=O)OC(C)(C)C)c2)C2C=C2)c(=O)o1,,,3,,,
183,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1CC2CCOC2C1)S(=O)(=O)c1ccc(CO)cc1,,,3,,,
184,COc1ccc(C2=NC(c3ccc(Cl)cc3)C(c3ccc(Cl)cc3)N2C(=O)N2CCNC(=O)C2)c(OC(C)C)c1,,,1,,,
185,Cc1cc(CCCCCOc2ccc(C3=NCCO3)cc2Cl)on1,,,1,,,
186,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,,,1,,,
187,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,,,1,,,
188,CCCCN1CC(O)C(O)C(O)C1CO,,,4,,,
189,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O.O.O.[Cl-].[Cl-].[H+].[H+],,,1,,,
190,S=c1[nH]cnc2nc[nH]c12,,,1,,,
191,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,,,1,,,
192,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,,,1,,,
193,COCC1OC(=O)c2coc3c2C1(C)C1=C(C3=O)C2CCC(=O)C2(C)CC1OC(C)=O,,2,1,,,
194,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)CC1O,,1,1,,,
195,COc1cccc(OC)c1C(=O)NNC(=O)c1ccccc1O,,,4,,,
196,NC(=O)c1ncn(C2OC(CO)C(O)C2O)n1,,,14,,,
197,Cc1cn(C2C=CC(CO)O2)c(=O)[nH]c1=O,,,12,,,
198,Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1Br,,,13,,,
199,Nc1nc(F)nc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,,,1,,,
200,Cc1cc(O)cc(Oc2cc(C)cc(O)c2O)c1,4,,4,,,
201,COc1ccc(-c2cc(=O)c3c(O)cc(OC4OC(CO)C(O)C(O)C4O)cc3o2)cc1,,,3,,,
202,CC(C)C1(O)CCC(C)(O)C2CCC(C)(O)C2C1O,,,3,,,
203,C=C1CCC2C(C)(CO)C(O)CCC2(C)C1CC=C1C(=O)OCC1O,,,4,,,
204,C=C(Cc1ccc2c(c1)OCO2)C(=C)Cc1ccc(O)cc1O,,,6,,,
205,C=C(Cc1ccc(O)cc1)C(=C)Cc1ccc(O)cc1,,,6,,,
206,COc1c(C2OC(COC(=O)c3cc(O)c(O)c(O)c3)C(O)C(O)C2O)cc2c(c1O)OC(=O)c1cc(C3OC(COC(=O)c4cc(O)c(O)c(O)c4)C(O)C(O)C3O)c(OC)c(O)c1OC2=O,,,5,,,
207,CCCCCCC(C)C1=C(O)C(=O)C2C(O)C(C)CC(O)C2C1(C)C(=O)C=CO,,3,5,,,
208,CCCCCCCCCC1CC2CCC3C(C(=O)OCCCCCCCCCC4NC(=N)N5CCCC5=C4C(=O)OCCCCNC(=N)N)C(C)N=C(N1)N23,,,4,,,
